"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jul-2024","EQ","1,487.00","1,516.00","1,486.00","1,480.75","1,510.05","1,509.90","1,506.72","1,582.00","996.50","21,88,675","3,29,77,28,859.90","1,02,166"
"04-Jul-2024","EQ","1,477.75","1,488.95","1,467.00","1,483.75","1,485.00","1,480.75","1,477.49","1,582.00","996.50","14,98,413","2,21,38,93,200.55","64,781"
"03-Jul-2024","EQ","1,494.00","1,500.00","1,474.60","1,488.65","1,485.70","1,483.75","1,484.75","1,582.00","996.50","10,61,247","1,57,56,89,997.45","52,075"
"02-Jul-2024","EQ","1,480.00","1,492.75","1,479.25","1,479.10","1,490.00","1,488.65","1,487.71","1,582.00","996.50","11,91,962","1,77,32,98,124.20","51,461"
"01-Jul-2024","EQ","1,484.95","1,493.70","1,472.20","1,480.80","1,477.75","1,479.10","1,481.75","1,582.00","996.50","13,13,651","1,94,65,03,282.75","58,620"
"28-Jun-2024","EQ","1,486.30","1,492.20","1,476.05","1,480.90","1,482.65","1,480.80","1,481.11","1,582.00","989.35","20,87,765","3,09,22,17,802.60","62,077"
"27-Jun-2024","EQ","1,481.00","1,486.20","1,465.30","1,479.10","1,485.00","1,480.90","1,475.86","1,582.00","989.35","27,92,582","4,12,14,61,483.35","1,35,792"
"26-Jun-2024","EQ","1,503.70","1,507.20","1,475.00","1,499.70","1,478.35","1,479.10","1,485.43","1,582.00","989.35","19,30,909","2,86,82,21,252.40","78,929"
"25-Jun-2024","EQ","1,511.60","1,517.80","1,495.50","1,504.40","1,502.00","1,499.70","1,501.57","1,582.00","989.35","11,99,626","1,80,13,19,517.45","48,899"
"24-Jun-2024","EQ","1,528.00","1,528.00","1,495.05","1,541.55","1,507.85","1,504.40","1,508.56","1,582.00","989.35","12,83,529","1,93,62,82,870.75","54,837"
"21-Jun-2024","EQ","1,549.90","1,562.90","1,533.50","1,544.85","1,537.25","1,541.55","1,544.80","1,582.00","985.65","26,13,883","4,03,79,28,881.55","79,950"
"20-Jun-2024","EQ","1,558.00","1,559.15","1,540.00","1,559.80","1,545.45","1,544.85","1,546.85","1,582.00","985.65","17,05,002","2,63,73,78,136.45","75,788"
"19-Jun-2024","EQ","1,577.40","1,582.00","1,553.40","1,574.80","1,560.05","1,559.80","1,564.37","1,582.00","985.65","18,81,544","2,94,34,35,975.40","77,269"
"18-Jun-2024","EQ","1,570.00","1,576.95","1,563.60","1,564.75","1,575.00","1,574.80","1,571.07","1,576.95","985.65","20,68,897","3,25,03,82,871.95","78,259"
"14-Jun-2024","EQ","1,545.00","1,567.00","1,535.80","1,544.55","1,566.00","1,564.75","1,558.25","1,567.00","955.15","18,45,043","2,87,50,30,566.15","68,989"
"13-Jun-2024","EQ","1,550.00","1,551.00","1,520.40","1,540.95","1,545.00","1,544.55","1,539.12","1,551.00","955.15","15,25,789","2,34,83,77,937.75","76,427"
"12-Jun-2024","EQ","1,542.45","1,549.00","1,532.00","1,530.25","1,538.30","1,540.95","1,542.40","1,549.00","955.15","15,78,793","2,43,51,37,533.00","63,432"
"11-Jun-2024","EQ","1,545.00","1,546.45","1,527.00","1,534.25","1,535.00","1,530.25","1,537.40","1,546.45","955.15","16,99,446","2,61,27,35,323.55","68,671"
"10-Jun-2024","EQ","1,506.90","1,540.85","1,502.00","1,497.25","1,529.00","1,534.25","1,529.31","1,540.85","955.15","27,51,606","4,20,80,68,588.50","1,19,850"
"07-Jun-2024","EQ","1,484.00","1,503.40","1,479.30","1,477.00","1,497.00","1,497.25","1,492.62","1,519.00","955.15","15,91,055","2,37,48,47,137.35","75,663"
"06-Jun-2024","EQ","1,500.00","1,501.00","1,464.00","1,496.95","1,478.90","1,477.00","1,474.91","1,519.00","955.15","16,05,122","2,36,74,08,211.60","1,38,629"
"05-Jun-2024","EQ","1,490.00","1,514.00","1,466.85","1,462.55","1,487.50","1,496.95","1,496.81","1,519.00","955.15","18,34,280","2,74,55,63,806.35","1,21,677"
"04-Jun-2024","EQ","1,460.00","1,476.95","1,418.55","1,452.35","1,465.00","1,462.55","1,456.52","1,519.00","955.15","20,49,577","2,98,52,56,687.55","96,783"
"03-Jun-2024","EQ","1,482.00","1,483.00","1,446.05","1,447.20","1,458.00","1,452.35","1,453.34","1,519.00","955.15","13,35,614","1,94,11,03,213.55","78,856"
"31-May-2024","EQ","1,466.95","1,472.70","1,440.00","1,466.60","1,449.00","1,447.20","1,449.51","1,519.00","942.30","32,70,743","4,74,09,69,338.05","1,06,171"
"30-May-2024","EQ","1,495.05","1,496.55","1,454.00","1,493.55","1,470.00","1,466.60","1,471.89","1,519.00","942.30","17,32,140","2,54,95,26,165.30","94,469"
"29-May-2024","EQ","1,475.25","1,497.60","1,472.60","1,479.45","1,493.45","1,493.55","1,487.35","1,519.00","942.30","16,07,691","2,39,12,02,368.20","74,181"
"28-May-2024","EQ","1,482.95","1,494.75","1,475.20","1,478.65","1,480.00","1,479.45","1,483.09","1,519.00","942.30","7,84,496","1,16,34,74,469.45","43,368"
"27-May-2024","EQ","1,491.00","1,492.55","1,475.20","1,486.45","1,478.40","1,478.65","1,482.18","1,519.00","942.30","13,93,334","2,06,51,72,504.80","89,728"
"24-May-2024","EQ","1,489.15","1,493.90","1,479.05","1,489.15","1,486.70","1,486.45","1,487.59","1,519.00","915.45","7,58,326","1,12,80,80,256.90","44,553"
